"ra" "dec" "antirad" "event1" "event2"
"1" "113.293708085636" "31.3355189825328" "0" "ev_20121214_005142A_01" "ev_20121214_020755A_01"
"2" "114.041383217478" "23.2935812839881" "0" "ev_20121214_005142A_01" "ev_20121214_024512A_01"
"3" "113.192047723975" "32.3378206738063" "0" "ev_20121214_005142A_01" "ev_20121214_030221A_01"
"4" "113.858695440061" "25.3663310231652" "1" "ev_20121214_005142A_01" "ev_20121214_031250A_01"
"5" "113.110076912681" "33.1301168263188" "1" "ev_20121214_005142A_01" "ev_20121214_031554A_01"
"6" "113.465217970347" "29.59489290579" "1" "ev_20121214_005142A_01" "ev_20121214_033005A_01"
"7" "113.338658853854" "30.8853580094759" "0" "ev_20121214_005142A_01" "ev_20121214_033111A_01"
"8" "113.443237081568" "29.8214626493649" "0" "ev_20121214_005142A_01" "ev_20121214_034016A_01"
"9" "113.365776838261" "30.6117111531911" "0" "ev_20121214_005142A_01" "ev_20121214_034441A_01"
"10" "113.429915546195" "29.9582760541577" "0" "ev_20121214_005142A_01" "ev_20121214_035442A_01"
"11" "113.376321011285" "30.5048887383677" "1" "ev_20121214_005142A_01" "ev_20121214_035626A_01"
"12" "116.128150827775" "-3.85930484000536" "1" "ev_20121214_005142A_01" "ev_20121214_041027A_01"
"13" "113.309102283964" "31.1818356354046" "0" "ev_20121214_005142A_01" "ev_20121214_042826A_01"
"14" "113.13224916355" "32.9172034313322" "0" "ev_20121214_005142A_01" "ev_20121214_043124A_01"
"15" "114.972963196529" "11.7637320822087" "0" "ev_20121214_005142A_01" "ev_20121214_043314A_01"
"16" "113.968526745138" "24.1283487586076" "0" "ev_20121214_005142A_01" "ev_20121214_044420A_01"
"17" "114.02256633282" "23.510204884451" "1" "ev_20121214_005142A_01" "ev_20121214_045304A_01"
"18" "113.208645722787" "32.1756678477893" "0" "ev_20121214_005142A_01" "ev_20121214_045731A_01"
"19" "113.707745170754" "27.0270468492817" "1" "ev_20121214_005142A_01" "ev_20121214_050726A_01"
"20" "113.200354477327" "32.2567411869184" "0" "ev_20121214_005142A_01" "ev_20121214_050955A_01"
"21" "115.034359247659" "10.9568038931834" "1" "ev_20121214_005142A_01" "ev_20121214_051051A_01"
"22" "112.691301624165" "36.960051135432" "0" "ev_20121214_005142A_01" "ev_20121214_051152A_01"
"23" "113.573487802699" "28.4639278802754" "1" "ev_20121214_005142A_01" "ev_20121214_051735A_01"
"24" "113.504634357377" "29.1860361770038" "0" "ev_20121214_005142A_01" "ev_20121214_052159A_01"
"25" "113.412228602344" "30.13934021703" "0" "ev_20121214_005142A_01" "ev_20121214_053152A_01"
"26" "113.777083143953" "26.2701114874192" "0" "ev_20121214_005142A_01" "ev_20121214_053344A_01"
"27" "113.465727387946" "29.5896298789717" "0" "ev_20121214_005142A_01" "ev_20121214_053626A_01"
"28" "114.570441015277" "16.9253522634177" "1" "ev_20121214_005142A_01" "ev_20121214_053953A_01"
"29" "113.734221012653" "26.7392092845819" "0" "ev_20121214_005142A_01" "ev_20121214_054901A_01"
"30" "113.316707248222" "31.105728372615" "0" "ev_20121214_005142A_01" "ev_20121214_055333A_01"
"31" "113.49576300055" "29.2783442462784" "0" "ev_20121214_005142A_01" "ev_20121214_060012A_01"
"32" "112.063335333809" "42.052613759877" "1" "ev_20121214_005142A_01" "ev_20121214_060232A_01"
"33" "114.080616999432" "22.8396349273882" "1" "ev_20121214_005142A_01" "ev_20121214_062352A_01"
"34" "113.41479762284" "30.113081972124" "0" "ev_20121214_005142A_01" "ev_20121214_063135A_01"
"35" "113.982407314354" "23.9701370041277" "1" "ev_20121214_005142A_01" "ev_20121214_063440A_01"
"36" "114.042518542206" "23.280488475066" "0" "ev_20121214_005142A_01" "ev_20121214_063651A_01"
"37" "114.401100073042" "19.0197507486691" "1" "ev_20121214_005142A_01" "ev_20121214_063800A_01"
"38" "113.345021637552" "30.8212914546548" "0" "ev_20121214_005142A_01" "ev_20121214_064203A_01"
"39" "111.719948098032" "44.5330591380143" "0" "ev_20121214_005142A_01" "ev_20121214_064237A_01"
"40" "112.554052733804" "38.1378683724758" "0" "ev_20121214_005142A_01" "ev_20121214_064902A_01"
"41" "114.21660464697" "21.2427196594166" "1" "ev_20121214_005142A_01" "ev_20121214_064929A_01"
"42" "113.517729163129" "29.0494771512696" "0" "ev_20121214_005142A_01" "ev_20121214_065132A_01"
"43" "114.209554862242" "21.326389783905" "1" "ev_20121214_005142A_01" "ev_20121214_065223A_01"
"44" "114.349397097944" "19.6490832591823" "1" "ev_20121214_005142A_01" "ev_20121214_065348A_01"
"45" "113.385958222719" "30.4070482408377" "0" "ev_20121214_005142A_01" "ev_20121214_065746A_01"
"46" "114.022096064862" "23.5156095851191" "0" "ev_20121214_005142A_01" "ev_20121214_071729A_01"
"47" "113.383175780087" "30.4353168647713" "1" "ev_20121214_005142A_01" "ev_20121214_072239A_01"
"48" "133.827502096001" "-76.6741852667395" "1" "ev_20121214_005142A_01" "ev_20121214_072501A_01"
"49" "112.951142347409" "34.6262244989591" "1" "ev_20121214_005142A_01" "ev_20121214_073745A_01"
"50" "113.676094079899" "27.3692153333591" "0" "ev_20121214_005142A_01" "ev_20121214_073852A_01"
"51" "114.311611141084" "20.1059151146623" "1" "ev_20121214_005142A_01" "ev_20121214_075840A_01"
"52" "110.567998383108" "51.514994044821" "0" "ev_20121214_005142A_01" "ev_20121214_080217A_01"
"53" "112.321805301726" "40.0471314680628" "0" "ev_20121214_005142A_01" "ev_20121214_081817A_01"
"54" "112.719851199858" "36.7103299626763" "1" "ev_20121214_005142A_01" "ev_20121214_082158A_01"
"55" "113.401988898034" "30.2438621064762" "1" "ev_20121214_005142A_01" "ev_20121214_082414A_01"
